Title,Container,CodecIssue,SourceURL,BunnyStreamFetchURL,SuggestedLocalName
"Crew Girl","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e01.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e01.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e01 720P Hevc X265-Megusta[Eztvx To].mp4"
"Love U Lots","MKV","container only","https://deymflix-media.b-cdn.net/Love+U+Lots/Love.U.Lots.(2026).VONE.S01E01.1080p.WEB-DL.AAC2.0.x264-DarkRip.mkv","https://deymflix-media.b-cdn.net/Love+U+Lots/Love.U.Lots.(2026).VONE.S01E01.1080p.WEB-DL.AAC2.0.x264-DarkRip.mkv","Love U Lots (2026) VONE S01E01 1080p WEB-DL AAC2 0 x264-DarkRip.mp4"
"Mayday","MKV","container only","https://deymflix-media.b-cdn.net/movie+1/%5BSh4dy%5DMayday.2026.4K.atmos.mkv","https://deymflix-media.b-cdn.net/movie+1/%5BSh4dy%5DMayday.2026.4K.atmos.mkv","Mayday 2026 4K atmos.mp4"
"Mutiny","MKV","HEVC/10bit","https://deymflix-r2-1.b-cdn.net/Mutiny.2026.1080p.WEBRip.10Bit.DDP5.1.x265-NeoNoir.mkv","https://deymflix-r2-1.b-cdn.net/Mutiny.2026.1080p.WEBRip.10Bit.DDP5.1.x265-NeoNoir.mkv","Mutiny 2026 1080p WEBRip 10Bit DDP5 1 x265-NeoNoir.mp4"
"Facing El Chapo","MKV","HEVC/10bit","https://deymflix-media.b-cdn.net/movie+1/Facing.El.Chapo.2026.1080p.NF.WEB-DL.Multi.AAC5.1.AV1-4kHdHub.Com.mkv","https://deymflix-media.b-cdn.net/movie+1/Facing.El.Chapo.2026.1080p.NF.WEB-DL.Multi.AAC5.1.AV1-4kHdHub.Com.mkv","Facing El Chapo 2026 1080p NF WEB-DL Multi AAC5 1 AV1-4kHdHub Com.mp4"
"Minions & Monsters","MKV","HEVC/10bit","https://deymflix-r2-1.b-cdn.net/Minions.and.Monsters.2026.1080p.10bit.WEBRip.6CH.x265-PSA.mkv","https://deymflix-r2-1.b-cdn.net/Minions.and.Monsters.2026.1080p.10bit.WEBRip.6CH.x265-PSA.mkv","Minions and Monsters 2026 1080p 10bit WEBRip 6CH x265-PSA.mp4"
"Coyote vs. Acme","MKV","container only","https://deymflix-r2-1.b-cdn.net/Coyote.vs.Acme.2026.1080p.DCP.DDP5.1.H264-AOC.mkv","https://deymflix-r2-1.b-cdn.net/Coyote.vs.Acme.2026.1080p.DCP.DDP5.1.H264-AOC.mkv","Coyote vs Acme 2026 1080p DCP DDP5 1 H264-AOC.mp4"
"Colony","MKV","HEVC/10bit","https://deymflix-r2-1.b-cdn.net/Colony%202026%201080p%20WebRip%20Opus%202%200%20x265-Lootera.mkv","https://deymflix-r2-1.b-cdn.net/Colony%202026%201080p%20WebRip%20Opus%202%200%20x265-Lootera.mkv","Colony 2026 1080p WebRip Opus 2 0 x265-Lootera.mp4"
"The Secret Woman","MKV","container only","https://deymflix-r2-1.b-cdn.net/The%20Secret%20Woman%202026%201080p%20NF%20WEB-DL%20DUAL%20DDP5%201%20H%20264-FLUX.mkv","https://deymflix-r2-1.b-cdn.net/The%20Secret%20Woman%202026%201080p%20NF%20WEB-DL%20DUAL%20DDP5%201%20H%20264-FLUX.mkv","The Secret Woman 2026 1080p NF WEB-DL DUAL DDP5 1 H 264-FLUX.mp4"
"Yellow Mirror","MKV","container only","https://deymflix-r2-1.b-cdn.net/Yellow%20Mirror%202026%20NORDiC%201080p%20WEB-DL%20H%20264%20DDP5%201-ADDICTION.mkv","https://deymflix-r2-1.b-cdn.net/Yellow%20Mirror%202026%20NORDiC%201080p%20WEB-DL%20H%20264%20DDP5%201-ADDICTION.mkv","Yellow Mirror 2026 NORDiC 1080p WEB-DL H 264 DDP5 1-ADDICTION.mp4"
"I Want Your Sex","MP4","codec","https://deymflix-r2-1.b-cdn.net/I%20Want%20Your%20Sex%20(2026)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.GG%20-%20YTS.BZ%5D/I.Want.Your.Sex.2026.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.GG%20-%20YTS.BZ%5D.mp4","https://deymflix-r2-1.b-cdn.net/I%20Want%20Your%20Sex%20(2026)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.GG%20-%20YTS.BZ%5D/I.Want.Your.Sex.2026.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.GG%20-%20YTS.BZ%5D.mp4","I Want Your Sex 2026 1080p WEBRip x265 10bit AAC5 1-[YTS GG - YTS BZ].mp4"
"The Weight","MKV","container only","https://deymflix-r2-2.b-cdn.net/www.UIndex.org%20%20%20%20-%20%20%20%20The.Weight.2026.1080p.SCREENER.WEB-DL.H264.AAC-II/The.Weight.2026.1080p.SCREENER.WEB-DL.H264.AAC-II.mkv","https://deymflix-r2-2.b-cdn.net/www.UIndex.org%20%20%20%20-%20%20%20%20The.Weight.2026.1080p.SCREENER.WEB-DL.H264.AAC-II/The.Weight.2026.1080p.SCREENER.WEB-DL.H264.AAC-II.mkv","The Weight 2026 1080p SCREENER WEB-DL H264 AAC-II.mp4"
"PAW Patrol: The Dino Movie","MKV","HEVC/10bit","https://deymflix-media.b-cdn.net/movie+1/PAW.Patrol.The.Dino.Movie.2026.1080p.AMZN.WEB-DL.DDP5.1.H.265-KyoGo.mkv","https://deymflix-media.b-cdn.net/movie+1/PAW.Patrol.The.Dino.Movie.2026.1080p.AMZN.WEB-DL.DDP5.1.H.265-KyoGo.mkv","PAW Patrol The Dino Movie 2026 1080p AMZN WEB-DL DDP5 1 H 265-KyoGo.mp4"
"Camp Rock 3","MKV","HEVC/10bit","https://deymflix-r2-2.b-cdn.net/www.UIndex.org%20%20%20%20-%20%20%20%20Camp%20Rock%203%202026%201080p%20WEBRip%20x265-DH/Camp%20Rock%203%202026%201080p%20WEBRip%20x265-DH.mkv","https://deymflix-r2-2.b-cdn.net/www.UIndex.org%20%20%20%20-%20%20%20%20Camp%20Rock%203%202026%201080p%20WEBRip%20x265-DH/Camp%20Rock%203%202026%201080p%20WEBRip%20x265-DH.mkv","Camp Rock 3 2026 1080p WEBRip x265-DH.mp4"
"Night Nurse","MP4","codec","https://deymflix-r2-2.b-cdn.net/Night%20Nurse%20(2026)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.GG%20-%20YTS.BZ%5D/Night.Nurse.2026.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.GG%20-%20YTS.BZ%5D.mp4","https://deymflix-r2-2.b-cdn.net/Night%20Nurse%20(2026)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.GG%20-%20YTS.BZ%5D/Night.Nurse.2026.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.GG%20-%20YTS.BZ%5D.mp4","Night Nurse 2026 1080p WEBRip x265 10bit AAC5 1-[YTS GG - YTS BZ].mp4"
"Saccharine","MP4","codec","https://deymflix-r2-2.b-cdn.net/Saccharine%20(2026)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.BZ%5D/Saccharine.2026.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.BZ%5D.mp4","https://deymflix-r2-2.b-cdn.net/Saccharine%20(2026)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.BZ%5D/Saccharine.2026.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.BZ%5D.mp4","Saccharine 2026 1080p WEBRip x265 10bit AAC5 1-[YTS BZ].mp4"
"Maddie's Secret","MP4","codec","https://deymflix-r2-2.b-cdn.net/Maddies%20Secret%20(2025)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.GG%20-%20YTS.BZ%5D/Maddies.Secret.2025.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.GG%20-%20YTS.BZ%5D.mp4","https://deymflix-r2-2.b-cdn.net/Maddies%20Secret%20(2025)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.GG%20-%20YTS.BZ%5D/Maddies.Secret.2025.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.GG%20-%20YTS.BZ%5D.mp4","Maddies Secret 2025 1080p WEBRip x265 10bit AAC5 1-[YTS GG - YTS BZ].mp4"
"Snoopy Presents: There's No Place Like Home Snoopy","MKV","container only","https://deymflix-r2-2.b-cdn.net/www.UIndex.org%20%20%20%20-%20%20%20%20Snoopy.Presents.Theres.No.Place.Like.Home.Snoopy.2026.1080p.WEB.h264-DOLORES/Snoopy.Presents.Theres.No.Place.Like.Home.Snoopy.2026.1080p.WEB.h264-DOLORES.mkv","https://deymflix-r2-2.b-cdn.net/www.UIndex.org%20%20%20%20-%20%20%20%20Snoopy.Presents.Theres.No.Place.Like.Home.Snoopy.2026.1080p.WEB.h264-DOLORES/Snoopy.Presents.Theres.No.Place.Like.Home.Snoopy.2026.1080p.WEB.h264-DOLORES.mkv","Snoopy Presents Theres No Place Like Home Snoopy 2026 1080p WEB h264-DOLORES.mp4"
"Supergirl","MP4","codec","https://deymflix-r2-2.b-cdn.net/Supergirl%20(2026)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.GG%20-%20YTS.BZ%5D/Supergirl.2026.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.GG%20-%20YTS.BZ%5D.mp4","https://deymflix-r2-2.b-cdn.net/Supergirl%20(2026)%20%5B1080p%5D%20%5BWEBRip%5D%20%5Bx265%5D%20%5B10bit%5D%20%5B5.1%5D%20%5BYTS.GG%20-%20YTS.BZ%5D/Supergirl.2026.1080p.WEBRip.x265.10bit.AAC5.1-%5BYTS.GG%20-%20YTS.BZ%5D.mp4","Supergirl 2026 1080p WEBRip x265 10bit AAC5 1-[YTS GG - YTS BZ].mp4"
"Episode 1 - The Estranged Girl","MKV","container only","https://deymflix-media.b-cdn.net/Love+U+Lots/Love.U.Lots.(2026).VONE.S01E01.1080p.WEB-DL.AAC2.0.x264-DarkRip.mkv","https://deymflix-media.b-cdn.net/Love+U+Lots/Love.U.Lots.(2026).VONE.S01E01.1080p.WEB-DL.AAC2.0.x264-DarkRip.mkv","Love U Lots (2026) VONE S01E01 1080p WEB-DL AAC2 0 x264-DarkRip.mp4"
